Date,BCOLOMBIA.CL,CEMARGOS.CL,CONCONCRET.CL,CORFICOLCF.CL,ENKA.CL,ETB.CL,EXITO.CL,GRUPOAVAL.CL,GRUPOSURA.CL,HCOLSEL.CL,ICOLCAP.CL,MINEROS.CL,NUTRESA.CL,PFAVAL.CL,PFBCOLOM.CL,PFCORFICOL.CL,PFDAVVNDA.CL,PFGRUPOARG.CL,PFGRUPSURA.CL,TERPEL.CL,AMZN,BAC,C,CENCOSUD.SN,CSPX.L,F,GOOGL,ISAC.CL,IUFS.CL,IUIT.CL,JETS,JPEA.CL,JPM,LQDA,NVDA,RBOT,SDHA.CL,SUAS.CL,VOO
2024-01-29/2024-02-04,31710.7109375,6140.85791015625,308.0,16300.0,14.807086944580078,106.0,2731.465576171875,483.9928283691406,29814.783203125,13533.0,12648.904296875,1899.9896240234375,44615.67578125,476.45361328125,29167.17578125,13100.0,19400.0,9866.435546875,15243.87890625,7114.60595703125,171.80999755859375,32.82097625732422,53.54648208618164,1679.66064453125,519.1400146484375,11.345898628234863,142.0283203125,300360.0,43440.0,100340.0,19.149999618530273,20800.0,171.70718383789062,13.579999923706055,66.14580535888672,12.0600004196167,24220.0,55560.0,449.8190002441406
2024-02-05/2024-02-11,30227.16796875,6063.6142578125,313.0,15340.0,14.807086944580078,106.0,2603.27392578125,483.9928283691406,31460.40625,13335.0,12513.21875,1909.9896240234375,44928.22265625,470.7131652832031,28446.76953125,12900.0,19400.0,9405.7470703125,15472.8232421875,7033.45068359375,174.4499969482422,32.42873001098633,52.54892349243164,1666.163330078125,525.9400024414062,11.85057544708252,148.63197326660156,302500.0,43760.0,106960.0,19.700000762939453,20860.0,171.98233032226562,14.8100004196167,72.11752319335938,12.300000190734863,24180.0,56140.0,456.1462707519531
2024-02-12/2024-02-18,31525.26953125,6227.7568359375,290.0,15000.0,14.807086944580078,106.0,2366.61279296875,483.9928283691406,29756.701171875,13335.0,12432.2236328125,2029.9888916015625,45705.9453125,471.669921875,28631.48828125,12520.0,19000.0,9357.7578125,15701.767578125,7078.537109375,169.50999450683594,33.428951263427734,53.385963439941406,1764.6434326171875,528.22998046875,11.495431900024414,140.17291259765625,306320.0,44000.0,106940.0,19.989999771118164,20840.0,175.9327850341797,14.59000015258789,72.59741973876953,11.1899995803833,24220.0,56780.0,454.5223388671875
2024-02-19/2024-02-25,31488.181640625,6594.6630859375,298.0,14420.0,14.807086944580078,106.0,2465.2216796875,473.4712219238281,30008.38671875,13379.5,12809.2001953125,2119.988525390625,45705.9453125,469.75640869140625,30201.6015625,12860.0,20000.0,9453.7353515625,16026.107421875,7213.7958984375,174.99000549316406,33.26224899291992,54.43714141845703,1694.6575927734375,534.8499755859375,11.652042388916016,143.6044158935547,306500.0,44560.0,106100.0,20.139999389648438,20780.0,180.80699157714844,14.319999694824219,78.80008697509766,10.5,24120.0,56500.0,462.19622802734375
2024-02-26/2024-03-03,30598.052734375,6758.80615234375,298.0,14300.0,14.807086944580078,95.0,2445.5,450.5150146484375,28265.96484375,13330.0,12749.203125,2529.986328125,45705.9453125,470.7131652832031,29795.220703125,13000.0,19980.0,9981.609375,17457.009765625,7322.00244140625,178.22000122070312,33.68391036987305,54.115943908691406,1706.6551513671875,537.2999877929688,11.949581146240234,136.80125427246094,313220.0,45800.0,108380.0,20.100000381469727,20880.0,182.08450317382812,14.520000457763672,82.26134490966797,10.949999809265137,24400.0,57600.0,466.800537109375
2024-03-04/2024-03-10,30394.06640625,7579.51806640625,295.0,13900.0,15.084718704223633,95.0,2341.96044921875,453.81549072265625,29524.380859375,13780.0,13050.0,2699.985595703125,45705.9453125,457.8052978515625,29462.7265625,13080.0,21140.0,10653.4482421875,18029.369140625,7394.140625,175.35000610351562,35.155582427978516,55.9749641418457,1668.662841796875,541.7899780273438,11.690434455871582,135.07553100585938,317400.0,45340.0,107340.0,20.100000381469727,21180.0,184.96380615234375,14.039999961853027,87.50922393798828,10.649999618530273,24380.0,57660.0,465.77081298828125
2024-03-11/2024-03-17,29392.67578125,7917.45849609375,270.0,13040.0,15.084718704223633,95.0,2233.490966796875,407.5668029785156,29040.375,13550.0,12789.5,2629.985595703125,45001.2734375,393.2306823730469,29000.92578125,12700.0,19100.0,10538.2744140625,17285.30078125,7421.1923828125,174.4199981689453,34.96795654296875,56.072296142578125,1694.6575927734375,537.5399780273438,11.575258255004883,140.83126831054688,317700.0,45320.0,108580.0,19.65999984741211,21260.0,187.00784301757812,15.899999618530273,87.822265625,11.489999771118164,24220.0,56900.0,465.3945617675781
2024-03-18/2024-03-24,32545.203125,8168.49951171875,280.0,13540.0,14.807086944580078,95.0,2376.4736328125,417.2019348144531,29021.013671875,13673.0,13260.0,2874.984375,45074.79296875,412.5067138671875,30460.208984375,13180.0,20300.0,10653.4482421875,18124.763671875,7213.7958984375,178.8699951171875,36.58748245239258,59.19661331176758,1688.6588134765625,550.0399780273438,12.391092300415039,150.39759826660156,313920.0,45500.0,107320.0,20.329999923706055,21260.0,193.21847534179688,16.729999542236328,94.273193359375,10.260000228881836,24160.0,59060.0,474.4744567871094
2024-03-25/2024-03-31,32638.51171875,8342.2978515625,280.0,13300.0,14.807086944580078,95.0,2376.4736328125,416.2339782714844,29505.017578125,14030.0,13440.0,3099.9833984375,45015.94921875,416.403076171875,31213.7421875,13260.0,20300.0,10826.2060546875,17685.953125,7123.623046875,180.3800048828125,37.446624755859375,61.552024841308594,1699.6566162109375,552.489990234375,12.746220588684082,150.55718994140625,318880.0,46540.0,110140.0,21.010000228881836,21360.0,196.83482360839844,14.75,90.34085083007812,9.0600004196167,24300.0,58020.0,477.51025390625
2024-04-01/2024-04-07,34333.27734375,8545.0615234375,283.0,14500.0,15.547439575195312,95.0,2381.404296875,416.2339782714844,31363.603515625,14745.0,14095.0,3234.982666015625,41387.2109375,439.6441650390625,32466.84765625,14800.0,22200.0,10960.57421875,19536.587890625,8000.0,185.07000732421875,36.64673614501953,59.9557991027832,1644.667724609375,546.4099731445312,12.746220588684082,152.12332153320312,310700.0,46480.0,105360.0,20.1200008392334,20880.0,194.0341339111328,15.710000038146973,87.99324798583984,8.220000267028809,23900.0,57720.0,473.3281555175781
